"File","OriginalBytes","WebPBytes","SavedBytes","Status"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2438.jpg","16058792","2902138","13156654","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2441.jpg","11525507","1762858","9762649","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2443.jpg","14769710","2044084","12725626","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2445.jpg","13394739","1783284","11611455","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2447.jpg","12692118","1838412","10853706","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2448.jpg","16801470","2300804","14500666","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2450.jpg","9489235","1143530","8345705","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2451.jpg","13753377","1756418","11996959","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2453.jpg","15372922","1969266","13403656","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2455.jpg","12959940","1438352","11521588","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2456.jpg","13066639","1460124","11606515","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2457.jpg","14117737","1436304","12681433","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2458.jpg","12987648","1299450","11688198","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2460.jpg","11379963","1390290","9989673","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2463.jpg","14465059","2042428","12422631","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2463-2.jpg","11902411","1640502","10261909","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2465.jpg","13273379","1669920","11603459","Converted"
